Project Name,Task Number,Task Name,Status,Priority,Assigned To,Start Date,End Date,Estimated Hours,Milestone,Description,Subtask Number,Subtask Name,Subtask Hours,Subtask Sequence
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.1,Create non-root admin user (asi360admin),0.5,1
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.2,Disable root SSH login,0.25,2
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.3,Install and configure fail2ban,0.75,3
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.4,Change SSH port to 2849,0.5,4
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.5,Setup key-only authentication,1,5
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.6,Repeat for Droplet 2 and 3,2,6
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.7,Documentation and testing,1,7
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-002,Credential Encryption System,Open,High,David Bucknor,2025-01-15,2025-01-17,12,Phase 1: Security Foundation,"Implement secrets management using Python keyring. Encrypt all API keys (Vast.ai, Supabase, Anthropic, Telegram, Google Drive). Establish key rotation schedule.",1.2.1,Install Python keyring library,0.5,1
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-002,Credential Encryption System,Open,High,David Bucknor,2025-01-15,2025-01-17,12,Phase 1: Security Foundation,"Implement secrets management using Python keyring. Encrypt all API keys (Vast.ai, Supabase, Anthropic, Telegram, Google Drive). Establish key rotation schedule.",1.2.2,Generate master encryption key,0.5,2
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-002,Credential Encryption System,Open,High,David Bucknor,2025-01-15,2025-01-17,12,Phase 1: Security Foundation,"Implement secrets management using Python keyring. Encrypt all API keys (Vast.ai, Supabase, Anthropic, Telegram, Google Drive). Establish key rotation schedule.",1.2.3,Create secrets_manager.py module,2,3
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-002,Credential Encryption System,Open,High,David Bucknor,2025-01-15,2025-01-17,12,Phase 1: Security Foundation,"Implement secrets management using Python keyring. Encrypt all API keys (Vast.ai, Supabase, Anthropic, Telegram, Google Drive). Establish key rotation schedule.",1.2.4,Migrate Vast.ai API key,1,4
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-002,Credential Encryption System,Open,High,David Bucknor,2025-01-15,2025-01-17,12,Phase 1: Security Foundation,"Implement secrets management using Python keyring. Encrypt all API keys (Vast.ai, Supabase, Anthropic, Telegram, Google Drive). Establish key rotation schedule.",1.2.5,Migrate Supabase credentials,1,5
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-002,Credential Encryption System,Open,High,David Bucknor,2025-01-15,2025-01-17,12,Phase 1: Security Foundation,"Implement secrets management using Python keyring. Encrypt all API keys (Vast.ai, Supabase, Anthropic, Telegram, Google Drive). Establish key rotation schedule.",1.2.6,Migrate additional secrets (Anthropic Telegram etc),2,6
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-002,Credential Encryption System,Open,High,David Bucknor,2025-01-15,2025-01-17,12,Phase 1: Security Foundation,"Implement secrets management using Python keyring. Encrypt all API keys (Vast.ai, Supabase, Anthropic, Telegram, Google Drive). Establish key rotation schedule.",1.2.7,Implement key rotation schedule,1,7
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-002,Credential Encryption System,Open,High,David Bucknor,2025-01-15,2025-01-17,12,Phase 1: Security Foundation,"Implement secrets management using Python keyring. Encrypt all API keys (Vast.ai, Supabase, Anthropic, Telegram, Google Drive). Establish key rotation schedule.",1.2.8,Setup secrets backup strategy,2,8
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-002,Credential Encryption System,Open,High,David Bucknor,2025-01-15,2025-01-17,12,Phase 1: Security Foundation,"Implement secrets management using Python keyring. Encrypt all API keys (Vast.ai, Supabase, Anthropic, Telegram, Google Drive). Establish key rotation schedule.",1.2.9,Replicate to Droplet 2 and 3,2,9
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-003,Docker Image Supply Chain Security,Open,High,David Bucknor,2025-01-18,2025-01-19,6,Phase 1: Security Foundation,"Enable Docker Content Trust, pin image digests, implement Trivy vulnerability scanning, optionally setup private registry.",1.3.1,Enable Docker Content Trust,1,1
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-003,Docker Image Supply Chain Security,Open,High,David Bucknor,2025-01-18,2025-01-19,6,Phase 1: Security Foundation,"Enable Docker Content Trust, pin image digests, implement Trivy vulnerability scanning, optionally setup private registry.",1.3.2,Pin image digests in all Dockerfiles,2,2
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-003,Docker Image Supply Chain Security,Open,High,David Bucknor,2025-01-18,2025-01-19,6,Phase 1: Security Foundation,"Enable Docker Content Trust, pin image digests, implement Trivy vulnerability scanning, optionally setup private registry.",1.3.3,Implement automated vulnerability scanning (Trivy),2,3
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-003,Docker Image Supply Chain Security,Open,High,David Bucknor,2025-01-18,2025-01-19,6,Phase 1: Security Foundation,"Enable Docker Content Trust, pin image digests, implement Trivy vulnerability scanning, optionally setup private registry.",1.3.4,Setup private registry (optional),1,4
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-004,Build Docker Images on Vast.ai,Deferred,High,David Bucknor,2025-01-20,2025-01-22,16,Phase 2: Infrastructure Testing,"Build all 4 production Docker images (Windows workstation, Linux desktop, video batch, AI services) on Vast.ai build instance. Push to Docker Hub for deployment.",2.1.1,Deploy Vast.ai build instance (32GB RAM RTX 3060),1,1
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-004,Build Docker Images on Vast.ai,Deferred,High,David Bucknor,2025-01-20,2025-01-22,16,Phase 2: Infrastructure Testing,"Build all 4 production Docker images (Windows workstation, Linux desktop, video batch, AI services) on Vast.ai build instance. Push to Docker Hub for deployment.",2.1.2,Build Windows workstation image (asi360/windows-workstation),3,2
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-004,Build Docker Images on Vast.ai,Deferred,High,David Bucknor,2025-01-20,2025-01-22,16,Phase 2: Infrastructure Testing,"Build all 4 production Docker images (Windows workstation, Linux desktop, video batch, AI services) on Vast.ai build instance. Push to Docker Hub for deployment.",2.1.3,Build Linux desktop image (asi360/desktop-editor),2,3
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-004,Build Docker Images on Vast.ai,Deferred,High,David Bucknor,2025-01-20,2025-01-22,16,Phase 2: Infrastructure Testing,"Build all 4 production Docker images (Windows workstation, Linux desktop, video batch, AI services) on Vast.ai build instance. Push to Docker Hub for deployment.",2.1.4,Build video batch processing image (asi360/video-editor),2,4
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-004,Build Docker Images on Vast.ai,Deferred,High,David Bucknor,2025-01-20,2025-01-22,16,Phase 2: Infrastructure Testing,"Build all 4 production Docker images (Windows workstation, Linux desktop, video batch, AI services) on Vast.ai build instance. Push to Docker Hub for deployment.",2.1.5,Build AI services image (asi360/ai-services),3,5
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-004,Build Docker Images on Vast.ai,Deferred,High,David Bucknor,2025-01-20,2025-01-22,16,Phase 2: Infrastructure Testing,"Build all 4 production Docker images (Windows workstation, Linux desktop, video batch, AI services) on Vast.ai build instance. Push to Docker Hub for deployment.",2.1.6,Push all images to Docker Hub,2,6
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-004,Build Docker Images on Vast.ai,Deferred,High,David Bucknor,2025-01-20,2025-01-22,16,Phase 2: Infrastructure Testing,"Build all 4 production Docker images (Windows workstation, Linux desktop, video batch, AI services) on Vast.ai build instance. Push to Docker Hub for deployment.",2.1.7,Test image deployment on fresh Vast.ai instance,2,7
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-004,Build Docker Images on Vast.ai,Deferred,High,David Bucknor,2025-01-20,2025-01-22,16,Phase 2: Infrastructure Testing,"Build all 4 production Docker images (Windows workstation, Linux desktop, video batch, AI services) on Vast.ai build instance. Push to Docker Hub for deployment.",2.1.8,Document build process and image sizes,1,8
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-007,Website Development and Launch (asi360.agency),Deferred,High,David Bucknor,2025-01-28,2025-02-03,24,Phase 3: Revenue Generation,"Build and launch asi360.agency website with services pages, pricing, technology showcase, and about page. Deploy on Netlify/Vercel with contact form integration.",3.1.1,Register domain (asi360.agency or alternative),0.5,1
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-007,Website Development and Launch (asi360.agency),Deferred,High,David Bucknor,2025-01-28,2025-02-03,24,Phase 3: Revenue Generation,"Build and launch asi360.agency website with services pages, pricing, technology showcase, and about page. Deploy on Netlify/Vercel with contact form integration.",3.1.2,Design homepage (hero services overview CTA),4,2
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-007,Website Development and Launch (asi360.agency),Deferred,High,David Bucknor,2025-01-28,2025-02-03,24,Phase 3: Revenue Generation,"Build and launch asi360.agency website with services pages, pricing, technology showcase, and about page. Deploy on Netlify/Vercel with contact form integration.",3.1.3,Create services page (video AI web dev),6,3
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-007,Website Development and Launch (asi360.agency),Deferred,High,David Bucknor,2025-01-28,2025-02-03,24,Phase 3: Revenue Generation,"Build and launch asi360.agency website with services pages, pricing, technology showcase, and about page. Deploy on Netlify/Vercel with contact form integration.",3.1.4,Write technology page (build trust with tech stack),3,4
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-007,Website Development and Launch (asi360.agency),Deferred,High,David Bucknor,2025-01-28,2025-02-03,24,Phase 3: Revenue Generation,"Build and launch asi360.agency website with services pages, pricing, technology showcase, and about page. Deploy on Netlify/Vercel with contact form integration.",3.1.5,Create pricing page (transparent packages),2,5
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-008,First Client Onboarding (Ashé Sanctuary),Deferred,High,David Bucknor,2025-02-04,2025-02-21,80,Phase 3: Revenue Generation,"Complete end-to-end onboarding for Ashé Sanctuary of Empowerment. Deliver website, social media automation, 4 videos, analytics dashboard. Target: $3,500 setup + $800/mo recurring.",3.2.1,Discovery call (stakeholder interviews goals),4,1
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-008,First Client Onboarding (Ashé Sanctuary),Deferred,High,David Bucknor,2025-02-04,2025-02-21,80,Phase 3: Revenue Generation,"Complete end-to-end onboarding for Ashé Sanctuary of Empowerment. Deliver website, social media automation, 4 videos, analytics dashboard. Target: $3,500 setup + $800/mo recurring.",3.2.2,Content audit (existing social media website),4,2
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-008,First Client Onboarding (Ashé Sanctuary),Deferred,High,David Bucknor,2025-02-04,2025-02-21,80,Phase 3: Revenue Generation,"Complete end-to-end onboarding for Ashé Sanctuary of Empowerment. Deliver website, social media automation, 4 videos, analytics dashboard. Target: $3,500 setup + $800/mo recurring.",3.2.3,Service scope agreement (contract signing),2,3
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-008,First Client Onboarding (Ashé Sanctuary),Deferred,High,David Bucknor,2025-02-04,2025-02-21,80,Phase 3: Revenue Generation,"Complete end-to-end onboarding for Ashé Sanctuary of Empowerment. Deliver website, social media automation, 4 videos, analytics dashboard. Target: $3,500 setup + $800/mo recurring.",3.2.4,Website development (WordPress on managed hosting),20,4
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-008,First Client Onboarding (Ashé Sanctuary),Deferred,High,David Bucknor,2025-02-04,2025-02-21,80,Phase 3: Revenue Generation,"Complete end-to-end onboarding for Ashé Sanctuary of Empowerment. Deliver website, social media automation, 4 videos, analytics dashboard. Target: $3,500 setup + $800/mo recurring.",3.2.5,Video production (4 videos - Insta360 DaVinci Resolve),16,5
